-78.4826739736364,38.0293712069098,10299893,,108,W,SOUTH,ST, ,W SOUTH ST,201,108 W SOUTH ST #201,105824
-78.4826739736364,38.0293712069098,10299894,,108,W,SOUTH,ST, ,W SOUTH ST,202,108 W SOUTH ST #202,105825
-78.4812911562463,38.0300410017784,10299895,,111,E,WATER,ST, ,E WATER ST,,111 E WATER ST,87947
-78.4826739736364,38.0293712069098,10299896,,108,W,SOUTH,ST, ,W SOUTH ST,203,108 W SOUTH ST #203,105826
-78.4919577576785,38.0382653580236,10299897,,416, ,10TH,ST,NW,10TH ST NW,,416 10TH ST NW,87993
-78.4578649047403,38.0397866875417,10299898,,1226, ,SMITH,ST, ,SMITH ST,H,1226 SMITH ST #H,88038
-78.4636415750538,38.0325545112727,10299899,,1431,E,HIGH,ST, ,E HIGH ST,,1431 E HIGH ST,88075
-78.4790157298147,38.0223896921978,10299900,,721, ,BLENHEIM,AVE, ,BLENHEIM AVE,,721 BLENHEIM AVE,88120
-78.5087287420672,38.0283760344134,10299901,,1800, ,JEFFERSON PARK,AVE, ,JEFFERSON PARK AVE,306,1800 JEFFERSON PARK AVE #306,88158
-78.5188815637961,38.025050467343,10299902,,109, ,PIEDMONT,AVE,S,PIEDMONT AVE S,,109 PIEDMONT AVE S,88211
-78.4939998318414,38.0299697457883,10299903,,814, ,NALLE,ST, ,NALLE ST,A,814 NALLE ST #A,88308
-78.4927656355631,38.0413717024167,10299904,,1025, ,PRESTON,AVE, ,PRESTON AVE,B,1025 PRESTON AVE #B,88452
-78.4676634049406,38.0193666447707,10299905,,1410, ,VINE,ST, ,VINE ST,B,1410 VINE ST #B,88542
-78.4796639809256,38.0321071831784,10299906,,217,E,JEFFERSON,ST, ,E JEFFERSON ST,,217 E JEFFERSON ST,88623
-78.4785872769545,38.0305096433723,10299907,,408,E,MARKET,ST, ,E MARKET ST,205B,408 E MARKET ST #205B,88722
-78.4867073698952,38.0606584203549,10299908,,2111, ,MICHIE,DR, ,MICHIE DR,69,2111 MICHIE DR #69,88820
-78.4973235836392,38.0399726721275,10299909,,512, ,15TH,ST,NW,15TH ST NW,2,512 15TH ST NW #2,88910
-78.4722172578626,38.039048226565,10299910,,608, ,LYONS,AVE, ,LYONS AVE,,608 LYONS AVE,89007
